zpid,GT,GT_class,basic_tom,words_tom,full_tom,basic_reason,words_reason,full_reason
20851686,51,moderate,moderate,moderate,fast,"The property has a unique architectural design and multiple features that appeal to buyers, but the offers are due on a specific date, indicating a moderate selling timeframe.","The property features unique architectural elements and modern amenities, appealing to buyers, but the presence of specific slow-selling words suggests it may not have generated immediate interest.","The property features desirable elements like a spacious layout, modern amenities, and a prime location in a sought-after school district, which likely attracted buyers quickly."
20491114,28,moderate,moderate,fast,fast,"The property is located in a desirable neighborhood and has appealing features, which likely contributed to a moderate selling time of 7 to 77 days.","The property is located in a highly sought-after neighborhood and features desirable attributes like a spacious layout and outdoor living space, which typically attract buyers quickly.","The property is located in a highly sought-after neighborhood and features desirable attributes like a spacious layout and outdoor living space, which typically attract buyers quickly."
31523142,101,moderate,moderate,fast,fast,"The property is well-renovated and located in New York, which typically attracts buyers. However, the age and size may lead to a moderate selling time, likely between 81 to 235 days.","The property is fully renovated with appealing features like amazing river views and a well-thought-out layout, which are attractive to buyers in New York, suggesting a fast sale.","The property features fully renovated interiors, amazing river views, and desirable amenities like laundry and central air, which are attractive to buyers, suggesting a quick sale."
320255600,79,fast,moderate,fast,fast,"The property is located in a desirable area with modern features, but the size and price may lead to a moderate selling time, likely between 81 to 235 days.","The property is in a desirable location with modern features and tax abatement, which are appealing to buyers. The description emphasizes convenience and style, suggesting a quick sale.","The property is in a desirable area with modern features, tax abatement, and convenient transportation access, which typically attracts buyers quickly, indicating a fast sale."
89143226,53,moderate,moderate,moderate,fast,"The property is located in a desirable area with luxury features, which typically attracts buyers. However, the age and size may lead to a moderate selling time, likely between 10 to 92 days.","The property is located in a desirable area with luxury features, but lacks specific fast-selling keywords. This suggests a moderate selling time, likely between 10 to 92 days.","The property is located in a prime area with luxury features and a spacious layout, appealing to buyers. The description emphasizes desirable amenities and a tranquil setting, likely leading to a quick sale."
2054483780,0,fast,fast,fast,fast,"The property is a brand new condo in a trendy Brooklyn neighborhood with extensive amenities, likely attracting buyers quickly. Its modern features and prime location suggest a fast sale.","The property features high-end amenities, a trendy location, and modern design elements, which are appealing to buyers. The description emphasizes immediate occupancy and luxury, suggesting a fast sale.","The property features high-end amenities, luxury finishes, and is located in a trendy neighborhood, which typically attracts buyers quickly, leading to a fast sale."
30744217,66,fast,moderate,moderate,fast,"The property is well-maintained with multiple renovations and is located in a desirable area, which typically leads to a moderate selling time. It likely attracted interest but may not have sold quickly due to its age and size.","The property has desirable features and recent renovations, but the age and specific location may lead to a moderate selling time. It likely appeals to a niche market.","The property features multiple renovations, a desirable location, and ample amenities, which are attractive to buyers. The description emphasizes convenience and modern upgrades, indicating a likely quick sale."
20120440,41,moderate,moderate,moderate,fast,"The property has unique features and potential for subdivision, which may attract buyers, but its age and size suggest it may take some time to sell, resulting in a moderate selling period.","The property has appealing features like a large subdividable lot and potential for development, but lacks fast-selling keywords. This suggests a moderate selling time.","The property features a rare, subdividable lot in a desirable area, appealing to both developers and residents. The description emphasizes its potential, likely attracting quick interest."
122659455,135,moderate,moderate,fast,fast,"The property is a studio in a desirable location with good amenities, which typically attracts buyers. However, the age of the building and the niche market may lead to a moderate selling time.","The property features appealing attributes like a sunny south-facing view, proximity to parks and transportation, and pet-friendly policies, which are attractive to buyers, suggesting a quick sale.","The property features desirable attributes like a sunny south-facing view, proximity to parks and transportation, and pet-friendly policies, which typically attract buyers quickly."
19965784,7,fast,fast,fast,fast,"The property is located in a highly desirable area of Lake Balboa with modern finishes and ample amenities, likely attracting buyers quickly. Its prime location and features suggest a fast sale.","The property is located in a highly desirable area with modern finishes and features that appeal to buyers. The description emphasizes its prime location and unique attributes, suggesting a quick sale.","The property features desirable attributes like a designer kitchen, ADU potential, and a prime location near amenities, which are appealing to buyers, indicating a fast sale."
244458249,157,moderate,moderate,fast,fast,"The property features desirable amenities and stunning views, which typically attract buyers. However, its age and location may lead to a moderate selling time, likely between 81 to 235 days.","The property features spectacular views, a sought-after location, and amenities like a doorman and pool, which are attractive to buyers. The description suggests high demand, indicating a fast sale.","The property features spectacular views, a full-service building, and amenities like a new gym and pool, appealing to buyers. Its prime location and desirable features suggest a quick sale."
20504166,11,moderate,moderate,fast,fast,"The property is well-remodeled and located in a desirable area, which typically attracts buyers. However, the age of the building and market conditions suggest a moderate selling time.","The property features a desirable location, modern updates, and attractive amenities, which are appealing to buyers. The description emphasizes comfort and convenience, suggesting a quick sale.","The property features desirable attributes like a recent remodel, modern amenities, and a prime location in Westwood, which typically attracts buyers quickly, leading to a fast sale."
20442795,65,moderate,moderate,fast,fast,"The property is located in a desirable area with many amenities, which typically attracts buyers. However, the age of the property and its size may have contributed to a moderate selling time.","This property features desirable amenities and is located in a sought-after area of Marina del Rey, which typically attracts buyers quickly. The detailed description highlights its appeal, suggesting a fast sale.","The property features desirable attributes like a prime location in Marina del Rey, modern upgrades, and community amenities, which typically attract buyers quickly, leading to a fast sale."
3851587,108,slow,fast,fast,fast,"This luxurious condo in a prime Chicago location likely attracted buyers quickly due to its stunning views, modern amenities, and desirable features, resulting in a fast sale.","The property features luxurious amenities, stunning views, and is located in a prime area of Chicago, which typically attracts buyers quickly. The detailed description suggests high demand.","This condo features luxurious amenities, stunning views, and a prime location in Chicago's Magnificent Mile, which are highly desirable traits that typically lead to quick sales."
3876648,48,moderate,fast,fast,fast,"The property is located in a highly sought-after area with desirable features and recent renovations, likely attracting buyers quickly. Its appeal and location suggest a fast sale.","The property features desirable attributes like a modern kitchen, ample living space, and a prime location in a sought-after community, which typically leads to a quick sale.","The property features desirable attributes like a chef's kitchen, private outdoor decks, and is located in a sought-after gated community. The use of appealing words like 'rehabbed' and 'immaculate' suggests high demand, likely leading to a fast sale."
