zpid,GT,GT_class,basic_tom,words_tom,full_tom,basic_reason,words_reason,full_reason
20851686,51,moderate,moderate,moderate,moderate,"The property is in a desirable location with unique architectural features and income potential, likely leading to a moderate selling time of 5 to 92 days.","The property features unique architectural elements and modern amenities, appealing to buyers, but the presence of slow-selling keywords suggests it may take longer to sell, resulting in a moderate timeframe.","The property features unique architectural elements and modern amenities, appealing to buyers. However, the presence of slow-selling words like 'tankless' and 'ensuite' suggests a moderate selling pace."
20491114,28,moderate,moderate,fast,moderate,"The property is located in a desirable area and has appealing features, which likely contributed to a moderate selling time of 5 to 92 days.","The property is located in a highly sought-after neighborhood and features desirable attributes like a spacious layout, outdoor living space, and a charming design, which typically attract buyers quickly.","The property is located in a highly sought-after neighborhood and features appealing characteristics like a spacious layout and outdoor living space, suggesting a moderate selling time."
31523142,101,moderate,moderate,fast,fast,"The property is well-renovated and offers desirable features like river views and privacy, which typically attract buyers. However, the age and location may lead to a moderate selling time.","The property is fully renovated with appealing features like amazing river views and a well-thought-out layout, which are attractive to buyers in New York, suggesting a quick sale.","The property features a fully renovated layout with appealing amenities like central air and laundry, along with stunning river views, which are attractive to buyers, suggesting a quick sale."
320255600,79,moderate,moderate,fast,fast,"The property is located in a desirable area with modern features, but the size and price may lead to a moderate selling time, likely taking between 71 to 247 days to sell.","The property is located in a desirable area with modern features and tax abatement, which are attractive to buyers. The description emphasizes convenience and style, suggesting a quick sale.","The property is in a desirable area with modern features, tax abatement, and convenient transportation, which are appealing to buyers, likely leading to a quick sale."
89143226,53,moderate,moderate,moderate,fast,"The property is located in a desirable area with luxury features, which typically attracts buyers. However, the size and price point may lead to a moderate selling time of 7 to 110 days.","The property is located in a desirable area with luxury features, but lacks specific fast-selling keywords. Its size and amenities suggest a moderate selling time of 7 to 110 days.","The property is located in a prime area of Hancock Park, features luxury amenities, and has a spacious layout, which are all appealing factors that typically lead to a quick sale."
2054483780,0,fast,fast,fast,fast,"The property is a brand new condo in a trendy neighborhood with extensive amenities, likely attracting buyers quickly. Its modern features and prime location suggest a fast sale.","The property features high-end finishes and extensive amenities, appealing to buyers looking for luxury living. Its prime location and modern design suggest a quick sale.","The property features high-end amenities, luxury brands like Miele and Peloton, and a desirable waterfront location, which typically attract buyers quickly, indicating a fast sale."
30744217,66,fast,moderate,moderate,moderate,"The property is well-maintained with multiple renovations and is located in a desirable area, which typically leads to a moderate selling time of 71 to 247 days.","The property has desirable features and recent renovations, but lacks fast-selling keywords. Its age and location may contribute to a moderate selling time.","The property features multiple renovations and is located in a desirable neighborhood, which typically attracts buyers. However, the age of the property and lack of luxury keywords suggest a moderate selling time."
20120440,41,moderate,moderate,moderate,moderate,"The property has unique features and potential for subdivision, which may attract buyers, but the age and size suggest it may take longer to sell, resulting in a moderate selling time.","The property has appealing features like a large subdividable lot and potential for development, but lacks fast-selling keywords, suggesting a moderate selling time.","The property has appealing features like a large subdividable lot and potential for development, but lacks fast-selling keywords. This suggests a moderate selling time."
122659455,135,moderate,fast,fast,fast,"The property is likely to sell fast due to its appealing features such as a sunny south-facing view, proximity to parks and transportation, and pet-friendly policies, which attract buyers.","The property features desirable attributes like a sunny south-facing view, proximity to parks and transportation, and pet-friendly policies, which typically attract buyers quickly.","The property features a sunny south-facing studio with desirable amenities, proximity to parks and transportation, and allows pets and sublets, making it highly attractive to buyers."
19965784,7,moderate,moderate,fast,fast,"The property is located in a desirable area with many appealing features, which likely contributed to a moderate selling time of 5 to 92 days.","The property is located in a highly desirable area with numerous attractive features, including a remodeled kitchen and prime location near parks and entertainment, suggesting a quick sale.","The property features desirable attributes like a designer kitchen, ADU potential, and a prime location near amenities, which are appealing to buyers, indicating a fast sale."
