zpid,GT,GT_class,basic_tom,words_tom,full_tom,basic_reason,words_reason,full_reason
20851686,51,moderate,moderate,moderate,fast,"The property is well-designed and located in a desirable area, but the age and size may lead to a moderate selling time. Offers are due on April 2nd, indicating a typical market pace.","The property features unique architectural elements and a desirable location, but lacks fast-selling keywords. The offers due date suggests a moderate selling timeframe.","The property features desirable attributes like a spacious layout, modern amenities, and a prime location in a sought-after school district, likely attracting quick offers."
20491114,28,moderate,moderate,fast,fast,"The property is located in a desirable neighborhood and has appealing features, which likely contributed to a moderate selling time of 9 to 64 days.","The property is located in a highly sought-after neighborhood and features desirable attributes like a spacious layout, outdoor living space, and a charming design, which typically attract buyers quickly.","The property is located in a highly sought-after neighborhood and features desirable attributes like a spacious layout and outdoor living space, which typically attract buyers quickly."
31523142,101,moderate,moderate,moderate,fast,"The property is well-renovated and located in New York, which typically attracts buyers. However, the age of the building and the lack of parking may have contributed to a moderate selling time.","The property is a fully renovated condo in New York with appealing features like river views and privacy. However, it lacks fast-selling keywords, suggesting a moderate selling time.","The property is fully renovated with desirable features like river views and privacy, which are appealing in the New York market. The absence of slow-selling keywords suggests a quick sale."
320255600,79,fast,moderate,fast,fast,"The property is located in a desirable area with modern features, but the additional cost for parking and the size may have contributed to a moderate selling time.","The property is located in a highly desirable area with modern features and convenient transportation, which typically attracts buyers quickly. The description emphasizes its appeal, suggesting a fast sale.","The property is in a desirable area with modern features, a tax abatement, and convenient transportation, which typically attracts buyers quickly, indicating a fast sale."
89143226,53,moderate,moderate,moderate,fast,"The property is located in a desirable area with luxury features, which typically attracts buyers. However, the age and size may lead to a moderate selling time, likely between 14 to 83 days.","The property is located in a desirable area with luxury features, but lacks specific fast-selling keywords. This suggests a moderate selling time, likely between 14 to 83 days.","The property is located in a prime area of Hancock Park, features luxury amenities, and has a spacious layout, which are appealing factors that typically lead to a quick sale."
2054483780,0,fast,fast,fast,fast,"The property is a brand new condo in a trendy Brooklyn neighborhood with extensive amenities, likely attracting buyers quickly. Its modern features and prime location suggest a fast sale.","The property features modern amenities, a desirable waterfront location, and a well-designed interior, which are appealing to buyers. The description suggests high demand, likely leading to a quick sale.","The property features high-end amenities, a desirable waterfront location, and modern design elements, which are attractive to buyers. The description suggests a strong demand, likely leading to a fast sale."
30744217,66,fast,moderate,fast,fast,"The property is well-maintained with multiple renovations and is located in a desirable area, which typically leads to a moderate selling time of 90 to 222 days.","The property features multiple renovations, a desirable location, and ample amenities, which are attractive to buyers. The description emphasizes convenience and modern updates, suggesting a quick sale.","The property features multiple renovations, a desirable location in Sheepshead Bay, and ample amenities, which typically attract buyers quickly, indicating a fast sale."
20120440,41,moderate,moderate,moderate,fast,"The property has unique features and potential for development, which may attract buyers, but the age and specific market conditions suggest a moderate selling time.","The property has appealing features like a large subdividable lot and potential for development, but lacks the urgency or trendy keywords that typically lead to a fast sale.","The property features a rare, subdividable lot in a desirable area near a medical center, appealing to both developers and residents. Its potential for future value likely led to a quick sale."
122659455,135,moderate,fast,fast,fast,"The property is likely to have sold fast due to its appealing features such as a sunny south-facing view, proximity to parks and transportation, and pet-friendly policies, which attract buyers.","The property features desirable attributes like a sunny south-facing view, proximity to parks and transportation, and pet-friendly policies, which typically attract buyers quickly.","The property features desirable attributes like a sunny south-facing view, proximity to parks, and pet-friendly policies, which are appealing to buyers, likely leading to a quick sale."
19965784,7,fast,moderate,fast,fast,"The property is located in a desirable area with many appealing features, but the age and size may lead to a moderate selling time, likely taking between 9 to 64 days to sell.","The property features desirable attributes like a remodeled kitchen, prime location, and ample parking, which are appealing to buyers. The description emphasizes its unique features and location, suggesting a quick sale.","The property features desirable attributes like a remodeled kitchen, ADU potential, and a prime location near amenities, which are appealing to buyers, indicating a likely quick sale."
