zpid,GT,GT_class,basic_tom,words_tom,full_tom,basic_reason,words_reason,full_reason
20851686,51,slow,moderate,moderate,moderate,"The property has a unique architectural design and desirable features, but the age and size may lead to a moderate selling time. Offers are due on April 2nd, indicating a planned selling strategy.","The property features unique architectural elements and a desirable location, but the presence of slow-selling keywords like 'ensuite' and 'tankless' suggests a moderate selling timeframe.","The property features high-end amenities and a desirable location, but the presence of slow-selling keywords like 'tankless' and 'ensuite' suggests a moderate selling timeframe."
20491114,28,moderate,moderate,fast,fast,"The property is located in a desirable area with appealing features, which likely contributed to a moderate selling time of 16 to 50 days, balancing demand and market conditions.","The property is located in a highly sought-after Beverlywood Area, features desirable Spanish-style architecture, and has ample space with 4 bedrooms and 3 bathrooms, which typically attracts buyers quickly.","The property is located in a highly sought-after neighborhood and features desirable attributes like a spacious layout, outdoor living space, and modern amenities, which typically attract buyers quickly."
31523142,101,fast,fast,fast,fast,"The property is fully renovated and offers desirable features like river views and privacy, which likely attracted buyers quickly in the competitive New York market.","The property is fully renovated with appealing features like amazing river views and a well-thought-out layout, which are attractive to buyers in New York, suggesting a quick sale.","The property is fully renovated with desirable features like river views and privacy, which are appealing in the New York market. This likely contributed to a fast sale."
320255600,79,fast,fast,fast,fast,"The property is located in a desirable area with modern features and tax abatement, likely attracting buyers quickly. The combination of amenities and location suggests a fast sale.","The property is located in a desirable area with modern features and tax abatement, which typically attracts buyers quickly. The description emphasizes convenience and style, indicating a fast sale.","The property is in a desirable area with modern features, tax abatement, and convenient transportation, which typically attracts buyers quickly, leading to a fast sale."
89143226,53,moderate,moderate,fast,fast,"The property is located in a desirable area with luxury features, which typically attracts buyers. However, the size and price point may lead to a moderate selling time of 26 to 65 days.","The property is located in a prime area of Hancock Park, features luxury amenities, and has an appealing open layout, which are all attractive to buyers, suggesting a fast sale.","The property is located in a prime area with luxury features and a spacious layout, appealing to buyers. The description emphasizes hosting and community, which are attractive selling points."
2054483780,0,fast,fast,fast,fast,"The property is a brand new condo in a trendy neighborhood with extensive amenities, likely attracting buyers quickly. Its modern features and prime location suggest a fast sale.","The property features high-end amenities, a prime location in Brooklyn, and a modern design, which are appealing to buyers. The description emphasizes immediate occupancy and luxury, suggesting a fast sale.","The property features high-demand amenities, luxury finishes, and is located in a trendy neighborhood, which typically attracts buyers quickly, leading to a fast sale."
30744217,66,fast,moderate,fast,moderate,"The property is well-maintained with multiple renovations and a desirable location, which typically attracts buyers. However, the age of the property and market conditions suggest a moderate selling time.","The property features multiple renovations, a desirable location, and ample amenities, which are appealing to buyers. The description emphasizes convenience and modern updates, suggesting a quick sale.","The property features multiple renovations and is located in a desirable neighborhood, which typically attracts buyers. However, the age of the property and lack of fast-selling keywords suggest a moderate selling time."
20120440,41,moderate,moderate,moderate,moderate,"The property has unique features and potential for development, which may attract buyers, but the age and size suggest it may take longer to sell, resulting in a moderate selling time.","The property has appealing features like a large subdividable lot and is well-maintained, but lacks high-demand keywords that typically indicate a fast sale. This suggests a moderate selling timeframe.","The property has appealing features like a subdividable lot and proximity to amenities, but lacks fast-selling keywords. This suggests a moderate selling time of 16 to 50 days."
122659455,135,moderate,fast,fast,fast,"The property is likely to sell fast due to its appealing features like a sunny south-facing view, proximity to parks and transportation, and pet-friendly policies, attracting many buyers.","The property features appealing attributes like a sunny south-facing view, proximity to parks and transportation, and pet-friendly policies, which are attractive to buyers, suggesting a quick sale.","The property features desirable attributes like a sunny south-facing view, proximity to parks, and pet-friendly policies, which are appealing to buyers, likely leading to a quick sale."
19965784,7,fast,fast,fast,fast,"The property is located in a highly desirable area with numerous attractive features and upgrades, likely leading to a quick sale within 0 to 16 days.","The property features desirable amenities like a designer kitchen, ample parking, and a prime location near parks and entertainment, which are appealing to buyers, suggesting a quick sale.","The property features desirable amenities like an ADU potential, a designer kitchen, and a prime location near parks and markets, which are attractive to buyers, leading to a quick sale."
