zpid,GT,GT_class,basic_tom,words_tom,full_tom,basic_reason,words_reason,full_reason
20851686,51,moderate,moderate,moderate,fast,"The property has a unique architectural design and multiple features that appeal to buyers, but the age and size may lead to a moderate selling time, likely taking 12 to 56 days.","The property features unique architectural elements and a desirable location, but the presence of specific discriminative words suggests it may not have the immediate appeal needed for a fast sale.","The property features a desirable architectural design, multiple living spaces, and modern amenities, which are appealing to buyers. Its location in a sought-after school district likely contributed to a quick sale."
20491114,28,moderate,moderate,moderate,fast,"The property is located in a desirable area with appealing features, which likely contributed to a moderate selling time of 12 to 56 days, balancing demand and market conditions.","The property is located in a desirable neighborhood and has appealing features, but the age of the home and lack of fast-selling keywords suggest it may take longer to sell.","The property is located in a highly sought-after neighborhood and features desirable attributes like a spacious layout and outdoor living space, which typically attract buyers quickly."
31523142,101,moderate,fast,fast,fast,"The property is fully renovated and offers desirable features like river views and privacy, which likely attracted buyers quickly in the competitive New York market.","The property is fully renovated with appealing features like amazing river views and a well-thought-out layout, which are attractive to buyers in New York, suggesting a quick sale.","The property is fully renovated with desirable features like amazing river views and a functional layout, which typically attracts buyers quickly in the competitive New York market."
320255600,79,fast,fast,fast,fast,"The property is located in a desirable area with modern features and tax abatement, likely attracting buyers quickly. The combination of amenities and location suggests a fast sale.","The property is located in a desirable area with modern features and convenient transportation, which typically attracts buyers quickly. The description emphasizes its appeal, suggesting a fast sale.","The property is in a desirable location with modern features, tax abatement, and convenient transportation access, which typically attracts buyers quickly, leading to a fast sale."
89143226,53,moderate,moderate,moderate,fast,"The property is located in a desirable area with luxury features, which typically attracts buyers. However, the size and price may lead to a moderate selling time of 20 to 75 days.","The property is located in a desirable area with luxury features, but lacks strong fast-selling keywords. It likely sold in a moderate timeframe due to its upscale nature and market conditions.","The property is located in a prime area of Hancock Park, features luxury amenities, and has a spacious layout, which are attractive to buyers. The description emphasizes luxury and convenience, suggesting a quick sale."
2054483780,0,fast,fast,fast,fast,"The property is a brand new condo in a trendy Brooklyn neighborhood with extensive amenities, likely attracting buyers quickly. Its modern features and prime location suggest a fast sale.","The property features high-end amenities, a trendy location, and modern design elements, which are appealing to buyers. The description suggests a desirable lifestyle, likely leading to a quick sale.","The property features high-end amenities, a desirable waterfront location, and modern design elements, which are attractive to buyers, leading to a fast sale."
30744217,66,fast,moderate,moderate,fast,"The property is well-maintained and located in a desirable area, but its age and size may lead to a moderate selling time. It likely attracted interest but took longer to finalize.","The property has desirable features and recent renovations, but its age and location may contribute to a moderate selling time. It likely attracted interest but faced some competition.","The property features multiple renovations, a desirable location near amenities, and a spacious layout, which are attractive to buyers, likely leading to a quick sale."
20120440,41,moderate,slow,moderate,fast,"The property is likely to sell slowly due to its age and the specific market conditions in Los Angeles, which may require more time to attract the right buyer interested in development potential.","The property has appealing features like a large subdividable lot and proximity to a medical center, which suggests moderate demand. However, its age and specific location may slow the sale.","The property is described as 'well maintained' and 'charming' with a 'plethora of options' for developers, indicating high demand. Its large, subdividable lot in a desirable area suggests it sold quickly."
122659455,135,moderate,fast,fast,fast,"The property is likely to sell fast due to its appealing features like a sunny south-facing view, proximity to parks and transportation, and pet-friendly policies, attracting many buyers.","The property features appealing attributes like a sunny south-facing view, proximity to parks and transportation, and pet-friendly policies, which are attractive to buyers, suggesting a quick sale.","The property features desirable attributes like a sunny south-facing view, proximity to parks, and pet-friendly policies, which are appealing to buyers, likely leading to a quick sale."
19965784,7,fast,moderate,fast,fast,"The property is located in a desirable area with many appealing features, but the age and size may have contributed to a moderate selling time, likely between 12 to 56 days.","The property is located in a highly desirable area with numerous attractive features, including a remodeled kitchen and prime location near parks and entertainment, suggesting a quick sale.","The property is located in a desirable area with modern finishes and features like an ADU potential, which are appealing to buyers. The description emphasizes its prime location and upgrades, suggesting a quick sale."
